"ID Produto";"Codigo produto";"GTIN";"Descrição Produto";"Depósito";"Balanço";"Preço Unitário";"Preço de Custo";"Observação";"Data"
"16448946277";"16448946277	";"";"ALPARGATA COURO COR:NOBUCK;TAMANHO:43";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448946279";"16448946279	";"";"ALPARGATA COURO COR:NOBUCK;TAMANHO:44";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448926593";"16448926593	";"";"ALPARGATA DE CORDA COR:AZUL;TAMANHO:34/35";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448926594";"16448926594	";"";"ALPARGATA DE CORDA COR:AZUL;TAMANHO:35/36";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448926595";"16448926595	";"";"ALPARGATA DE CORDA COR:AZUL;TAMANHO:36/37";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448926596";"16448926596	";"";"ALPARGATA DE CORDA COR:AZUL;TAMANHO:37/38";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448926597";"16448926597	";"";"ALPARGATA DE CORDA COR:AZUL;TAMANHO:38/39";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448926598";"16448926598	";"";"ALPARGATA DE CORDA COR:AZUL;TAMANHO:40/41";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448926599";"16448926599	";"";"ALPARGATA DE CORDA COR:AZUL;TAMANHO:41/42";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448926600";"16448926600	";"";"ALPARGATA DE CORDA COR:AZUL;TAMANHO:43/44";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448926602";"16448926602	";"";"ALPARGATA DE CORDA COR:AZUL;TAMANHO:44/45";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448926603";"16448926603	";"";"ALPARGATA DE CORDA COR:AZUL;TAMANHO:46";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448926616";"16448926616	";"";"ALPARGATA DE CORDA COR:BORDO;TAMANHO:34/35";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448926617";"16448926617	";"";"ALPARGATA DE CORDA COR:BORDO;TAMANHO:35/36";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448926618";"16448926618	";"";"ALPARGATA DE CORDA COR:BORDO;TAMANHO:36/37";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448926619";"16448926619	";"";"ALPARGATA DE CORDA COR:BORDO;TAMANHO:37/38";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448926620";"16448926620	";"";"ALPARGATA DE CORDA COR:BORDO;TAMANHO:38/39";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448926621";"16448926621	";"";"ALPARGATA DE CORDA COR:BORDO;TAMANHO:40/41";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448926622";"16448926622	";"";"ALPARGATA DE CORDA COR:BORDO;TAMANHO:41/42";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448926623";"16448926623	";"";"ALPARGATA DE CORDA COR:BORDO;TAMANHO:43/44";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448926624";"16448926624	";"";"ALPARGATA DE CORDA COR:BORDO;TAMANHO:44/45";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448926625";"16448926625	";"";"ALPARGATA DE CORDA COR:BORDO;TAMANHO:46";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448926566";"16448926566	";"";"ALPARGATA DE CORDA COR:BRANCO;TAMANHO:34/35";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448926567";"16448926567	";"";"ALPARGATA DE CORDA COR:BRANCO;TAMANHO:35/36";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448926568";"16448926568	";"";"ALPARGATA DE CORDA COR:BRANCO;TAMANHO:36/37";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448926569";"16448926569	";"";"ALPARGATA DE CORDA COR:BRANCO;TAMANHO:37/38";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448926571";"16448926571	";"";"ALPARGATA DE CORDA COR:BRANCO;TAMANHO:38/39";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448926572";"16448926572	";"";"ALPARGATA DE CORDA COR:BRANCO;TAMANHO:40/41";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448926573";"16448926573	";"";"ALPARGATA DE CORDA COR:BRANCO;TAMANHO:41/42";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448926574";"16448926574	";"";"ALPARGATA DE CORDA COR:BRANCO;TAMANHO:43/44";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448926575";"16448926575	";"";"ALPARGATA DE CORDA COR:BRANCO;TAMANHO:44/45";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448926577";"16448926577	";"";"ALPARGATA DE CORDA COR:BRANCO;TAMANHO:46";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448926578";"16448926578	";"";"ALPARGATA DE CORDA COR:PRETO;TAMANHO:34/35";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448926581";"16448926581	";"";"ALPARGATA DE CORDA COR:PRETO;TAMANHO:35/36";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448926582";"16448926582	";"";"ALPARGATA DE CORDA COR:PRETO;TAMANHO:36/37";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448926584";"16448926584	";"";"ALPARGATA DE CORDA COR:PRETO;TAMANHO:37/38";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448926585";"16448926585	";"";"ALPARGATA DE CORDA COR:PRETO;TAMANHO:38/39";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448926586";"16448926586	";"";"ALPARGATA DE CORDA COR:PRETO;TAMANHO:40/41";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448926588";"16448926588	";"";"ALPARGATA DE CORDA COR:PRETO;TAMANHO:41/42";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448926589";"16448926589	";"";"ALPARGATA DE CORDA COR:PRETO;TAMANHO:43/44";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448926590";"16448926590	";"";"ALPARGATA DE CORDA COR:PRETO;TAMANHO:44/45";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448926591";"16448926591	";"";"ALPARGATA DE CORDA COR:PRETO;TAMANHO:46";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448926604";"16448926604	";"";"ALPARGATA DE CORDA COR:VERDE;TAMANHO:34/35";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448926605";"16448926605	";"";"ALPARGATA DE CORDA COR:VERDE;TAMANHO:35/36";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448926607";"16448926607	";"";"ALPARGATA DE CORDA COR:VERDE;TAMANHO:36/37";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448926608";"16448926608	";"";"ALPARGATA DE CORDA COR:VERDE;TAMANHO:37/38";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448926609";"16448926609	";"";"ALPARGATA DE CORDA COR:VERDE;TAMANHO:38/39";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448926610";"16448926610	";"";"ALPARGATA DE CORDA COR:VERDE;TAMANHO:40/41";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448926611";"16448926611	";"";"ALPARGATA DE CORDA COR:VERDE;TAMANHO:41/42";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448926612";"16448926612	";"";"ALPARGATA DE CORDA COR:VERDE;TAMANHO:43/44";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448926613";"16448926613	";"";"ALPARGATA DE CORDA COR:VERDE;TAMANHO:44/45";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448926614";"16448926614	";"";"ALPARGATA DE CORDA COR:VERDE;TAMANHO:46";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448924910";"16448924910	";"";"ALPARGATA INFANTIL COR:NOBUCK CAFE;TAMANHO:16";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
"16448924911";"16448924911	";"";"ALPARGATA INFANTIL COR:NOBUCK CAFE;TAMANHO:17";"Fábrica Panambi";"0,0000000000";"0,0000000000";"0,0000000000";""
